Designator,Mid X,Mid Y,Layer,Rotation
C1,111.775,-106.75,top,180
C2,111.775,-105.1,top,180
C3,103.675,-99.8,top,0
C7,96.612401,-105.6126,top,180
C8,99.75,-105.025,top,-90
C9,116.275,-102.3,top,180
C10,113.6,-102.45,top,-90
C11,85.075,-113.5,top,180
C12,85.2,-97.65,top,-90
C13,79.225,-98.45,top,0
C14,92.4,-91.1625,top,0
C15,93.425,-97.6125,top,0
C16,89.35,-95,top,-90
C17,88.825,-113.35,top,0
C18,89.788901,-108.8602,top,90
C19,88.9,-111.6,top,0
C20,77.95,-102.5,top,180
CR1,120.5,-112.5,top,180
CR2,73.5,-101.6,top,-90
CR3,70.7,-100.6,top,-90
D1,90.6125,-103.5,top,180
D4,75.538901,-112.7625,top,-90
D7,70.5125,-105.85,top,0
J1,113.3,-97.35,top,180
J2,123.35,-102.6,top,90
J3,95.383399,-110.074999,top,0
J4,104.0075,-102.2125,top,0
JP1,55.5875,-108.7,top,0
JP2,76.2,-92.4875,top,90
LS1,61.2,-101.75,top,0
Q1,60.71,-112.45,top,180
R1,117.65,-110.325,top,-90
R2,115.9,-110.275,top,90
R3,90.6,-101.7,top,180
R6,96.8,-100.9,top,180
R7,99.75,-101.625,top,90
R8,120.425,-94.3,top,180
R9,120.425,-91.15,top,180
R10,114.1,-110.225,top,90
R11,112.3,-110.325,top,-90
R12,117,-100,top,180
R13,68.7,-93.775,top,-90
R14,68.625,-96.35,top,0
R15,66.85,-93.775,top,90
R16,67.575,-91.275,top,180
R17,74.525,-95.3,top,0
R18,74.575,-98.1,top,0
R19,87.3,-95.5,top,-90
R20,77.388901,-112.75,top,-90
R21,73.9,-105.9,top,180
S1,73,-92.2,top,180
U1,61.2125,-92.3,top,0
U3,67.47415,-111.395,top,0
U5,96.650001,-103.2626,top,180
U6,115.950189,-106.453,top,-90
U7,83.300001,-107.1148,top,0
U8,82.075,-93.95,top,0
U9,93.3,-94.35,top,0
Y1,75.4,-109.2625,top,90
